variante,recall_at_1,recall_at_3,recall_at_5,recall_at_10,evidencias
denso,0.0,0.0,0.0,0.0,19
filtros,0.05263157894736842,0.10526315789473684,0.2631578947368421,0.47368421052631576,19
hibrido,0.05263157894736842,0.15789473684210525,0.2631578947368421,0.3684210526315789,19
hibrido_enc,0.0,0.15789473684210525,0.21052631578947367,0.3684210526315789,19
denso_reescrito,0.15789473684210525,0.21052631578947367,0.2631578947368421,0.47368421052631576,19
filtros_reescrito,0.2631578947368421,0.5789473684210527,0.631578947368421,0.8421052631578947,19
hibrido_reescrito,0.3157894736842105,0.5789473684210527,0.7368421052631579,0.9473684210526315,19
hibrido_enc_reescrito,0.3157894736842105,0.6842105263157895,0.6842105263157895,0.7368421052631579,19
