version,preguntas,evaluadas,acierto,recall_trayectoria,coste_medio_usd,costes_conocidos,latencia_media_s,llamadas_medias,acierto_comparativa,acierto_extractiva,acierto_numerica
baseline,20,4,0.2,,0.0037938750000000004,4,11.574586619948969,1.4,0.0,0.0,0.5714285714285714
final,20,0,0.0,,,0,4.500547599978745,1.0,0.0,0.0,0.0
