version,preguntas,evaluadas,acierto,recall_trayectoria,coste_medio_usd,costes_conocidos,latencia_media_s,llamadas_medias,acierto_comparativa,acierto_extractiva,acierto_numerica
baseline,20,20,0.3,0.7692307692307693,0.0160404,20,27.37502380500082,4.0,0.0,0.0,0.8571428571428571
final,20,18,0.6,1.0,0.022009606578947367,19,228.58778450002427,3.75,0.5,0.2857142857142857,1.0
