version,preguntas,evaluadas,acierto,recall_trayectoria,coste_medio_usd,coste_medio_estimado_usd,costes_conocidos,acierto_cita_ancla,avisos_guardrail_medios,latencia_media_s,llamadas_medias,acierto_comparativa,acierto_extractiva,acierto_numerica
baseline,20,18,0.45,0.7272727272727273,0.018627766666666667,0.0168784275,18,0.2727272727272727,0.0,25.690169159995275,4.15,0.0,0.2857142857142857,1.0
final,20,16,0.65,0.9,0.02529139583333333,0.023097893750000004,18,0.9,0.05,40.03391225999512,5.0,0.5,0.5714285714285714,0.8571428571428571
