version,preguntas,evaluadas,acierto,recall_trayectoria,coste_medio_usd,coste_medio_estimado_usd,costes_conocidos,acierto_cita_ancla,avisos_guardrail_medios,latencia_media_s,llamadas_medias,acierto_comparativa,acierto_extractiva,acierto_numerica
baseline,20,20,0.55,0.7692307692307693,0.0145059225,0.0145059225,20,0.23076923076923078,0.0,24.26222308999859,3.75,0.0,0.7142857142857143,0.8571428571428571
final,20,19,0.95,0.875,0.01552547125,0.01552547125,20,0.8333333333333334,0.15,29.39039949500584,3.15,1.0,0.8571428571428571,1.0
