version,preguntas,evaluadas,acierto,recall_trayectoria,coste_medio_usd,costes_conocidos,latencia_media_s,llamadas_medias,acierto_comparativa,acierto_extractiva,acierto_numerica
baseline,20,17,0.35,0.8,0.012449342647058822,17,24.02006283501396,3.75,0.0,0.0,1.0
final,20,16,0.6,1.0,0.022014807352941177,17,38.16317762497347,3.65,0.5,0.42857142857142855,0.8571428571428571
